ld,nf,nd,ns,ent,revd,nrev,rtime,tcmt,hcmt,self,ndev,age,app,aexp,rexp,oexp,rrexp,asexp,rsexp,asawr,rsawr,isbuggy,code_churn
3,1,1,1,0.0,1,3.0,291966.0,20.0,4.0,0,12.0,185436.0,2.0,799.0,880.0,880.0,878.0,304.0,346.0,0.7076566125290024,0.8051044083526682,0.0,18
49,2,2,1,0.7995318105266797,1,3.0,140478.0,31.0,8.0,0,72.0,1331133.0,3.0,1126.0,3146.0,3717.0,2404.0,1107.0,3070.0,0.1465027105645907,0.406055797963771,0.0,103
3,2,2,1,0.9910760598382222,1,1.0,344624.0,8.0,4.0,0,31.0,1365650.0,4.0,157.0,1328.0,1457.0,1119.0,36.0,250.0,0.0415263748597081,0.281705948372615,0.0,18
12,1,1,1,0.0,1,2.0,253419.0,13.0,5.0,0,4.0,4646786.0,4.0,572.0,607.0,607.0,603.0,453.0,477.0,0.9190283400809716,0.9676113360323888,0.0,27
106,26,12,1,0.6824096496130508,1,16.0,-11139800.0,119.0,48.0,0,41.0,202273.84615384616,3.0,198.0,600.0,635.0,600.0,184.0,541.0,0.246995994659546,0.7236315086782377,0.0,1899
139,6,4,2,0.5379095310519048,1,2.0,140121.0,13.0,7.0,0,61.0,295465.0,2.0,314.0,202.0,454.0,202.0,260.0,178.0,0.1612106238418777,0.1105620753551575,0.0,301
6,1,1,1,0.0,1,3.0,532526.0,19.0,5.0,0,37.0,22610.0,2.0,0.0,1014.0,1014.0,1011.0,0.0,827.0,0.0003979307600477,0.3294866693195384,0.0,18
14,3,3,1,0.7480405137541007,1,3.0,1669221.0,26.0,9.0,0,27.0,67022.33333333333,1.0,153.0,572.0,700.0,525.0,150.0,520.0,0.0304128902316213,0.1049345417925478,0.0,28
4,2,2,1,0.5993142373098092,1,3.0,-9297515.0,19.0,10.0,0,3.0,496045.0,3.0,331.0,609.0,613.0,574.0,303.0,522.0,0.3580683156654888,0.6160188457008245,0.0,48
87,9,4,2,0.6445250153718692,1,22.0,3442893.0,108.0,19.0,0,36.0,4772791.0,1.0,7.0,566.0,569.0,460.0,7.0,561.0,0.0080321285140562,0.5642570281124498,0.0,912
6,4,4,2,0.7536959043595368,1,2.0,829297.0,13.0,6.0,0,38.0,1896954.75,2.0,248.0,225.0,390.0,222.0,242.0,217.0,0.5522727272727272,0.4954545454545455,0.0,56
2,1,1,1,0.0,1,2.0,1178310.0,5.0,2.0,0,2.0,1738681.0,4.0,127.0,335.0,335.0,335.0,25.0,103.0,0.2280701754385964,0.912280701754386,0.0,4
3,3,3,1,0.8715990960054906,1,10.0,255353.0,42.0,9.0,0,72.0,3059808.6666666665,4.0,136.0,984.0,1056.0,965.0,134.0,904.0,0.0352941176470588,0.2366013071895424,0.0,41
2,2,2,2,0.863120568566631,1,4.0,660368.0,17.0,9.0,0,8.0,1126884.0,2.0,0.0,93.0,93.0,93.0,0.0,90.0,0.003831417624521,0.3486590038314176,0.0,7
18,2,2,1,0.5266170655714281,1,2.0,278570.0,9.0,4.0,0,28.0,236682.0,3.0,14.0,644.0,649.0,643.0,14.0,532.0,0.0180940892641737,0.6429433051869723,0.0,42
1,1,1,1,0.0,1,3.0,92514.0,13.0,5.0,0,10.0,333088.0,2.0,204.0,119.0,304.0,119.0,92.0,90.0,0.1171284634760705,0.114609571788413,0.0,2
6,1,1,1,0.0,1,4.0,57411.0,17.0,7.0,0,1.0,1229338.0,3.0,66.0,723.0,759.0,723.0,32.0,514.0,0.0167427701674277,0.2612886859462202,0.0,17
56,5,4,1,0.5744830134591838,1,3.0,-25781966.0,21.0,7.0,0,21.0,298129.8,2.0,42.0,217.0,231.0,217.0,40.0,209.0,0.128125,0.65625,1.0,159
15,4,3,1,0.7291406475261194,1,2.0,30452.0,26.0,15.0,0,35.0,123583.0,2.0,318.0,1554.0,1742.0,1553.0,235.0,1473.0,0.1042863455589925,0.6513477684489616,0.0,35
3,3,3,1,0.7101828628164149,1,2.0,139953.0,9.0,2.0,0,76.0,18826.0,2.0,265.0,1512.0,1692.0,1343.0,228.0,1308.0,0.0608395324123273,0.3477683315621679,0.0,29
9,3,3,1,0.9057125980138372,1,6.0,865728.0,38.0,14.0,0,34.0,6449.0,3.0,53.0,360.0,412.0,342.0,2.0,295.0,0.0052356020942408,0.5165794066317626,0.0,18
0,7,7,1,0.8124310330304725,1,6.0,3595106.0,70.0,19.0,0,193.0,92664.14285714286,4.0,716.0,4018.0,4371.0,3387.0,211.0,2865.0,0.0279867986798679,0.3783498349834983,0.0,83
2,2,2,1,0.9798687566511528,1,9.0,17524287.0,54.0,19.0,0,23.0,241535.0,2.0,8.0,303.0,307.0,230.0,5.0,170.0,0.00625,0.178125,0.0,12
1,1,1,1,0.0,1,2.0,362972.0,16.0,6.0,0,62.0,92524.0,3.0,75.0,2054.0,2088.0,1694.0,70.0,1811.0,0.0148504496967161,0.3790002091612633,0.0,1
9,9,5,1,0.7201717461059521,1,6.0,-10201285.0,39.0,18.0,0,31.0,208716.88888888888,2.0,207.0,622.0,661.0,622.0,193.0,561.0,0.2449494949494949,0.7095959595959596,1.0,110
64,9,5,1,0.7365872180519933,1,8.0,639354.0,34.0,12.0,0,0.0,0.0,5.0,10.0,458.0,460.0,452.0,0.0,8.0,0.0909090909090909,0.8181818181818182,1.0,199
16,2,2,1,0.976210142437301,1,12.0,17838304.0,77.0,37.0,0,5.0,1058616.5,5.0,97.0,1220.0,1223.0,1097.0,7.0,273.0,0.0265780730897009,0.9102990033222592,1.0,127
222,17,10,1,0.9293872006568152,1,25.0,10158310.0,118.0,29.0,0,62.0,534674.7647058824,2.0,11.0,392.0,394.0,299.0,11.0,268.0,0.0108892921960072,0.2441016333938294,0.0,610
37,4,2,1,0.5465499306763263,1,9.0,457430.0,64.0,15.0,0,48.0,940849.75,4.0,1200.0,3933.0,4482.0,2977.0,1181.0,3503.0,0.1516745797510586,0.4496342871808033,0.0,59
1,1,1,1,0.0,1,5.0,360122.0,22.0,10.0,0,31.0,166328.0,2.0,17.0,2098.0,2115.0,1703.0,2.0,1860.0,0.000556276654923,0.345076951603931,0.0,2
10,6,3,1,0.8958831444864813,1,2.0,70406.0,8.0,6.0,0,42.0,63168.0,3.0,211.0,595.0,708.0,595.0,194.0,503.0,0.1825842696629213,0.4719101123595505,0.0,13
26,4,2,1,0.9379042149109412,1,11.0,1217297.0,58.0,16.0,0,3.0,1034078.25,4.0,4.0,626.0,628.0,607.0,2.0,567.0,0.0030090270812437,0.5697091273821464,0.0,196
58,13,7,1,0.8278706066023456,1,11.0,3596793.0,56.0,14.0,0,58.0,972798.2307692308,2.0,77.0,332.0,373.0,228.0,60.0,209.0,0.0520477815699658,0.1791808873720136,0.0,258
0,2,2,1,0.8366407419411672,1,4.0,1385738.0,20.0,7.0,0,8.0,694280.0,3.0,207.0,995.0,995.0,882.0,6.0,293.0,0.0182767624020887,0.7676240208877284,0.0,15
47,2,2,1,0.9635359835770289,1,35.0,24155803.0,286.0,97.0,0,1.0,2387698.5,13.0,1.0,746.0,746.0,737.0,0.0,10.0,0.0833333333333333,0.9166666666666666,1.0,134
15,3,3,1,0.7424022126550772,1,5.0,1933988.0,32.0,5.0,0,26.0,1472.0,1.0,158.0,1277.0,1371.0,1191.0,155.0,1196.0,0.0313693947315503,0.2406997788055499,0.0,30
6,1,1,1,0.0,1,5.0,-16177085.0,39.0,15.0,0,16.0,8735.0,2.0,136.0,433.0,507.0,433.0,67.0,398.0,0.1256931608133087,0.7375231053604436,0.0,6
36,3,3,1,0.7750020439755892,1,2.0,172203.0,22.0,4.0,0,33.0,914923.6666666666,3.0,1127.0,1440.0,1440.0,1255.0,983.0,989.0,0.7192982456140351,0.7236842105263158,0.0,41
121,4,3,1,0.6927127188419211,1,3.0,9270.0,7.0,2.0,1,4.0,49804.0,1.0,171.0,171.0,171.0,170.0,57.0,57.0,0.6823529411764706,0.6823529411764706,0.0,160
0,2,2,1,0.9910760598382222,1,2.0,111554.0,12.0,5.0,0,3.0,1866716.0,2.0,485.0,1108.0,1526.0,1098.0,345.0,1051.0,0.0874178878221323,0.2657908034360788,0.0,9
46,6,5,3,0.6074651144539008,1,10.0,3983952.0,40.0,12.0,0,50.0,1598164.6666666667,2.0,57.0,814.0,847.0,813.0,25.0,279.0,0.0542797494780793,0.5845511482254697,0.0,305
1,1,1,1,0.0,1,2.0,82591.0,9.0,4.0,0,32.0,10451.0,3.0,28.0,352.0,366.0,352.0,20.0,273.0,0.0305676855895196,0.3988355167394469,0.0,2
219,4,2,1,0.4717210315549514,1,52.0,4688621.0,249.0,50.0,0,8.0,480479.25,2.0,52.0,441.0,481.0,440.0,45.0,414.0,0.0377049180327868,0.3401639344262295,1.0,717
173,14,9,1,0.7334635870318862,1,11.0,1020215.0,51.0,16.0,0,19.0,60767.5,2.0,83.0,50.0,111.0,50.0,38.0,45.0,0.4875,0.575,0.0,455
70,17,8,1,0.9338700290220278,1,25.0,1507528.0,69.0,10.0,0,178.0,154.0,2.0,813.0,385.0,1133.0,379.0,789.0,369.0,0.1543270169955069,0.0722797421371361,0.0,250
205,7,4,1,0.8079699822286344,1,3.0,156478.0,15.0,5.0,0,26.0,709786.4285714285,2.0,986.0,1696.0,2381.0,1572.0,791.0,1570.0,0.1606490872210953,0.3186612576064909,0.0,205
3,3,3,2,0.8342022886441014,1,2.0,314380.0,13.0,4.0,0,18.0,72413.33333333333,2.0,125.0,352.0,427.0,334.0,67.0,347.0,0.1041347626339969,0.5329249617151608,0.0,22
27,6,2,1,0.8638270742092242,1,2.0,9807.0,12.0,4.0,0,22.0,74390.0,2.0,136.0,1018.0,1126.0,865.0,0.0,8.0,0.0212765957446808,0.1914893617021276,0.0,53
21,3,3,1,0.6480016190499651,1,10.0,1243216.0,44.0,18.0,0,188.0,427.0,3.0,1016.0,2999.0,3412.0,2360.0,997.0,2878.0,0.1412797281993205,0.407559456398641,0.0,56
9,2,2,1,0.8739810481273578,1,3.0,1037118.0,35.0,10.0,0,200.0,300354.0,4.0,56.0,3572.0,3581.0,2916.0,51.0,2634.0,0.0070355838181572,0.356514680016236,0.0,17
8,4,3,1,0.8980898459737487,1,2.0,513931.0,17.0,8.0,0,69.0,345523.0,6.0,34.0,1348.0,1354.0,1191.0,29.0,1175.0,0.0251256281407035,0.984924623115578,0.0,48
82,17,7,1,0.9053740985932388,1,3.0,779489.0,23.0,9.0,0,78.0,630513.2352941176,2.0,14.0,295.0,309.0,294.0,0.0,258.0,0.0008643042350907,0.2238547968885047,0.0,164
4,4,3,1,0.7849091749117736,1,3.0,3948616.0,46.0,18.0,0,224.0,28498.0,4.0,22.0,2657.0,2660.0,2288.0,22.0,1756.0,0.0030972259628332,0.2366011311607864,0.0,29
42,4,2,1,0.7998564381066102,1,1.0,58552.0,5.0,2.0,0,63.0,2886.0,2.0,262.0,561.0,719.0,561.0,230.0,451.0,0.1144130757800891,0.2238732045567112,1.0,92
14,2,2,2,0.8672816222000259,1,2.0,615235.0,25.0,3.0,0,6.0,5251507.0,2.0,1.0,547.0,547.0,474.0,1.0,542.0,0.0021367521367521,0.5801282051282052,0.0,90
0,5,5,1,0.6136432434073974,1,13.0,5015909.0,67.0,19.0,0,43.0,28012.8,2.0,8.0,1529.0,1532.0,1377.0,8.0,1323.0,0.0023759239704329,0.3495248152059134,0.0,208
1,2,2,1,0.2163969324512646,1,6.0,3789279.0,38.0,11.0,0,21.0,345612.0,5.0,205.0,3458.0,3551.0,2876.0,117.0,2436.0,0.0198252688172043,0.4094422043010752,1.0,29
357,66,26,4,0.8850771559861829,1,8.0,201051.0,42.0,25.0,0,89.0,108144.66666666669,3.0,6.0,692.0,693.0,692.0,6.0,603.0,0.0062780269058295,0.5417040358744395,0.0,732
3,2,2,1,0.9575534837147482,1,3.0,-6267718.0,21.0,12.0,0,5.0,1558947.0,2.0,297.0,425.0,636.0,409.0,278.0,359.0,0.3076074972436604,0.3969128996692392,0.0,29
27,5,2,1,0.8482194520027443,1,3.0,-25784290.0,15.0,5.0,0,3.0,43371.2,2.0,33.0,297.0,312.0,296.0,24.0,253.0,0.0825082508250825,0.8382838283828383,1.0,121
248,7,6,1,0.6168318041116797,1,3.0,201955.0,22.0,7.0,0,179.0,313599.14285714284,2.0,912.0,1501.0,2232.0,1233.0,876.0,1306.0,0.1987310219805121,0.2961704056197598,0.0,276
6,5,3,1,0.7423528612056296,1,11.0,1563805.0,54.0,15.0,0,123.0,6790.2,3.0,13.0,1949.0,1955.0,1702.0,11.0,1844.0,0.0024524831391784,0.3770692826486818,0.0,61
599,9,2,1,0.3635237151656857,1,3.0,1559279.0,18.0,8.0,0,36.0,968293.7777777778,3.0,425.0,2432.0,2605.0,2137.0,419.0,2238.0,0.0634920634920634,0.3384731670445956,0.0,599
1,5,3,2,0.6723471099386246,1,17.0,6683586.0,83.0,25.0,0,0.0,0.0,2.0,5.0,387.0,390.0,350.0,2.0,258.0,0.0041493775933609,0.3582295988934993,0.0,136
4,2,2,1,0.8112781244591328,1,2.0,360479.0,11.0,3.0,0,48.0,75085.0,2.0,99.0,754.0,806.0,754.0,91.0,719.0,0.0538957234915055,0.421792618629174,0.0,8
0,3,1,1,0.8420887815606471,1,5.0,465269.0,17.0,4.0,0,31.0,1036448.0,2.0,1.0,1093.0,1093.0,944.0,1.0,494.0,0.0031847133757961,0.7882165605095541,1.0,26
3,2,2,1,0.9709505944546686,1,3.0,187697.0,41.0,10.0,0,58.0,556738.5,5.0,1232.0,3167.0,3781.0,2463.0,1213.0,2824.0,0.1529737903225806,0.3559727822580645,0.0,15
0,1,1,1,0.0,1,3.0,27455.0,13.0,4.0,0,3.0,6211283.0,2.0,1245.0,760.0,1652.0,718.0,66.0,158.0,0.1666666666666666,0.3955223880597014,0.0,10
35,8,4,1,0.9503157210833264,1,9.0,14142958.0,71.0,35.0,0,32.0,1066596.125,7.0,11.0,2352.0,2354.0,1792.0,7.0,2103.0,0.0012501953430223,0.3288013752148773,0.0,133
1,2,2,1,0.2580186686648155,1,5.0,2961140.0,50.0,21.0,0,7.0,1468347.0,8.0,148.0,1133.0,1199.0,1031.0,89.0,312.0,0.1918976545842217,0.6673773987206824,0.0,46
0,5,3,1,0.6722182156511425,1,8.0,13374337.0,44.0,19.0,0,20.0,451825.0,2.0,94.0,356.0,410.0,355.0,94.0,254.0,0.2043010752688172,0.5483870967741935,0.0,287
6,3,2,1,0.4701799909001371,1,12.0,5542512.0,56.0,17.0,0,73.0,1229274.6666666667,3.0,137.0,561.0,649.0,552.0,130.0,543.0,0.0246148064637354,0.102217211574596,0.0,34
4,3,3,1,0.8194483718728035,1,3.0,-15024337.0,15.0,7.0,0,12.0,310513.0,2.0,108.0,496.0,518.0,489.0,94.0,451.0,0.1585976627712854,0.7545909849749582,1.0,24
83,5,5,2,0.7338067534458429,1,3.0,766584.0,20.0,6.0,0,49.0,371916.6,2.0,155.0,382.0,501.0,361.0,153.0,377.0,0.2254758418740849,0.5534407027818448,0.0,320
2,3,3,1,0.0,1,2.0,437553.0,16.0,7.0,0,19.0,705351.0,4.0,43.0,1007.0,1033.0,949.0,19.0,663.0,0.027027027027027,0.8972972972972973,0.0,4
14,3,2,1,0.6263709416065661,1,2.0,157455.0,10.0,3.0,0,17.0,129263.66666666669,2.0,3.0,729.0,731.0,709.0,3.0,600.0,0.0062794348508634,0.9434850863422292,0.0,20
7,2,2,2,0.7219280948873623,1,2.0,151920.0,9.0,3.0,0,11.0,797824.0,2.0,68.0,223.0,256.0,207.0,67.0,216.0,0.1784776902887139,0.5695538057742782,0.0,10
0,2,2,1,0.97933992595678,1,5.0,1422122.0,24.0,5.0,0,10.0,49126.0,1.0,112.0,1307.0,1408.0,1217.0,24.0,1226.0,0.0049524564183835,0.243066561014263,0.0,77
6,2,2,1,0.6098403047164004,1,2.0,12892390.0,13.0,10.0,0,96.0,589208.0,7.0,20.0,1806.0,1815.0,1678.0,18.0,1689.0,0.0035394932935916,0.3148286140089418,0.0,20
0,2,2,1,0.6343095546405662,1,5.0,941120.0,36.0,11.0,0,10.0,3913887.5,4.0,287.0,2566.0,2736.0,2303.0,251.0,1722.0,0.0418535127055306,0.2861650888556718,0.0,25
124,6,4,1,0.8295650378199465,1,14.0,-33535690.0,66.0,29.0,0,7.0,153146.66666666666,2.0,8.0,32.0,33.0,32.0,7.0,25.0,0.0842105263157894,0.2736842105263158,1.0,305
8,3,3,1,0.72483409150576,1,14.0,722453.0,45.0,9.0,0,37.0,833792.0,3.0,824.0,3154.0,3624.0,2515.0,805.0,2140.0,0.129979035639413,0.3452668924367038,0.0,21
0,3,3,2,0.3136668428500764,1,6.0,1334215.0,40.0,9.0,0,43.0,214999.0,2.0,98.0,357.0,384.0,341.0,98.0,349.0,0.1584,0.56,0.0,48
25,5,3,1,0.7925863673245099,1,4.0,1283878.0,24.0,11.0,0,16.0,635496.8,2.0,33.0,735.0,759.0,734.0,1.0,255.0,0.0073529411764705,0.9411764705882352,0.0,212
0,2,2,1,0.9940302114769564,1,11.0,6746154.0,76.0,36.0,0,159.0,301449.0,8.0,64.0,1294.0,1345.0,1120.0,61.0,1237.0,0.0094786729857819,0.1892676960709371,0.0,33
1031,10,5,2,0.5943918174105682,1,12.0,1081672.0,67.0,21.0,0,4.0,250658.9090909091,2.0,0.0,903.0,903.0,833.0,0.0,208.0,0.0041666666666666,0.8708333333333333,0.0,2326
33,2,2,1,0.863120568566631,1,4.0,1178861.0,20.0,5.0,0,24.0,1729957.5,3.0,1705.0,2425.0,3587.0,2282.0,1609.0,1576.0,0.254787149865485,0.2495648045576831,0.0,35
4,5,4,1,0.9674887648835618,1,6.0,6246829.0,80.0,20.0,0,118.0,73388.4,5.0,988.0,2768.0,3506.0,2430.0,925.0,1546.0,0.124178624111573,0.207456081534129,0.0,10
24,3,2,1,0.7462324142642144,1,2.0,2056053.0,14.0,6.0,0,44.0,275619.0,7.0,1278.0,3528.0,3528.0,3191.0,463.0,2382.0,0.07456210830789,0.3829342760726337,0.0,56
3,3,2,1,0.9358932809493992,1,4.0,1350441.0,26.0,9.0,0,130.0,316521.6666666667,2.0,8.0,528.0,530.0,528.0,7.0,514.0,0.0013840830449826,0.0891003460207612,1.0,12
42,3,2,1,0.4966215830615093,1,2.0,703195.0,34.0,7.0,0,2.0,4040473.0,4.0,8.0,1167.0,1172.0,1031.0,3.0,654.0,0.0049443757725587,0.8096415327564895,0.0,51
86,33,14,1,0.9260772983203536,1,11.0,3327528.0,67.0,22.0,0,226.0,93886.09090909093,3.0,252.0,1775.0,1996.0,1434.0,73.0,1527.0,0.0125126817720662,0.258369969563747,1.0,172
0,5,5,1,0.92149311369008,1,31.0,972727.0,112.0,27.0,0,57.0,264376.0,7.0,0.0,1347.0,1347.0,1261.0,0.0,862.0,0.0010672358591248,0.9210245464247598,1.0,43
3,3,2,1,0.886859507142915,1,2.0,269906.0,8.0,2.0,0,22.0,699848.6666666666,2.0,379.0,1483.0,1854.0,1393.0,14.0,1231.0,0.0047333543704638,0.3887661722940991,1.0,24
168,3,2,1,0.7305018437145736,1,4.0,924808.0,23.0,7.0,0,16.0,366627.3333333333,3.0,48.0,767.0,788.0,767.0,47.0,733.0,0.0144100870609426,0.2203542479735815,0.0,342
0,4,2,1,0.7517117210855127,1,13.0,1845570.0,54.0,20.0,0,1.0,341867.5,3.0,2.0,327.0,327.0,327.0,2.0,231.0,0.01171875,0.90625,1.0,902
6,2,2,1,0.524805134842907,1,5.0,2594518.0,83.0,19.0,0,6.0,1118131.5,4.0,12.0,2810.0,2812.0,2378.0,10.0,2695.0,0.0014889009204114,0.3649160801299404,0.0,76
46,4,2,1,0.5981944598092374,1,11.0,3821102.0,42.0,15.0,0,84.0,137247.0,3.0,188.0,641.0,766.0,631.0,181.0,619.0,0.0328282828282828,0.1118326118326118,0.0,97
8,5,4,1,0.8108512147480971,1,6.0,991930.0,34.0,14.0,0,12.0,244868.0,2.0,0.0,777.0,777.0,723.0,0.0,262.0,0.0028901734104046,0.7601156069364162,1.0,74
10,10,7,1,0.7222356868376102,1,7.0,1762178.0,135.0,21.0,0,16.0,421994.4,4.0,10.0,1956.0,1958.0,1684.0,9.0,320.0,0.0130208333333333,0.41796875,0.0,150
63,13,11,1,0.8463706492901527,1,11.0,2887723.0,61.0,27.0,0,263.0,1809.7692307692307,2.0,1785.0,468.0,2093.0,432.0,1688.0,446.0,0.25809902200489,0.0683068459657701,1.0,135
15,2,2,1,0.9486131982385806,1,2.0,233842.0,14.0,3.0,0,8.0,102234.0,2.0,39.0,440.0,448.0,438.0,26.0,330.0,0.0784883720930232,0.9622093023255814,1.0,49
639,9,4,2,0.7944567710539658,1,4.0,1361049.0,25.0,10.0,0,39.0,2642148.4,4.0,630.0,3561.0,4008.0,2970.0,459.0,2603.0,0.0654711073156846,0.3706233988044407,0.0,696
16,4,4,1,0.6266921963430906,1,9.0,1641454.0,40.0,10.0,0,54.0,7498.0,2.0,5.0,931.0,934.0,931.0,5.0,762.0,0.0038046924540266,0.4838300570703868,0.0,246
2,2,2,1,1.0,1,3.0,166271.0,15.0,7.0,0,9.0,12410954.0,3.0,1454.0,2451.0,3425.0,2003.0,1406.0,2297.0,0.2026501512314561,0.3309808440155552,0.0,4
67,2,2,2,0.2637774366941385,1,3.0,352673.0,23.0,12.0,0,17.0,1352220.0,4.0,41.0,320.0,334.0,263.0,41.0,308.0,0.0850202429149797,0.6255060728744939,0.0,134
2,2,2,1,0.9967916319816366,1,17.0,3327437.0,110.0,46.0,0,158.0,41604.5,5.0,5.0,2096.0,2098.0,1719.0,4.0,1859.0,0.0009405568096313,0.3498871331828442,0.0,30
2,1,1,1,0.0,1,2.0,601687.0,10.0,6.0,0,22.0,2516.0,2.0,55.0,844.0,871.0,843.0,2.0,16.0,0.0652173913043478,0.3695652173913043,0.0,3
2,2,2,1,0.6442142137378307,1,4.0,809151.0,29.0,13.0,0,73.0,177445.0,5.0,53.0,1194.0,1209.0,1182.0,52.0,1142.0,0.0128640776699029,0.2774271844660194,0.0,67
0,2,2,1,0.4689955935892812,1,2.0,659664.0,14.0,8.0,0,19.0,246881.0,6.0,60.0,2033.0,2061.0,1895.0,49.0,1819.0,0.0086043710204784,0.3131991051454139,0.0,20
6,2,2,1,0.9852281360342516,1,11.0,798904.0,60.0,34.0,0,19.0,179475.0,3.0,1977.0,2469.0,3860.0,1826.0,1879.0,2397.0,0.2653867871259175,0.3385093167701863,0.0,7
13,1,1,1,0.0,1,3.0,95047.0,19.0,7.0,0,1.0,2772294.0,3.0,1.0,298.0,298.0,298.0,1.0,211.0,0.0083333333333333,0.8833333333333333,0.0,30
1,1,1,1,0.0,1,2.0,108068.0,18.0,10.0,0,7.0,5956082.0,7.0,9.0,2003.0,2005.0,1779.0,4.0,425.0,0.007587253414264,0.6464339908952959,0.0,1
2,1,1,1,0.0,1,2.0,23019.0,11.0,3.0,0,12.0,455409.0,2.0,622.0,1615.0,2000.0,1516.0,558.0,1311.0,0.1780821917808219,0.4179675055750239,0.0,6
12,3,3,1,0.5240515878248748,1,1.0,53850.0,8.0,4.0,0,34.0,353743.0,4.0,59.0,1142.0,1180.0,1132.0,58.0,1112.0,0.0099898408398239,0.1884524212665086,1.0,29
34,2,2,1,0.1370994788998177,1,2.0,-28836197.0,11.0,4.0,0,7.0,644361.0,4.0,738.0,485.0,1141.0,483.0,3.0,150.0,0.0219780219780219,0.8296703296703297,0.0,104
2,2,2,1,0.3298460702071463,1,2.0,178725.0,12.0,4.0,0,83.0,53219.5,2.0,42.0,1588.0,1598.0,1578.0,41.0,1464.0,0.0151460512080778,0.5283086909484312,0.0,33
13,17,11,2,0.7171218584127061,1,2.0,8502.0,11.0,5.0,0,77.0,158653.0,3.0,61.0,669.0,680.0,568.0,52.0,649.0,0.0535894843276036,0.6572295247724975,0.0,26
4,1,1,1,0.0,1,2.0,471572.0,5.0,3.0,0,1.0,5145111.0,2.0,1.0,250.0,251.0,249.0,0.0,0.0,0.5,0.5,0.0,8
14,2,2,1,0.9992492479956564,1,1.0,31435.0,6.0,3.0,0,22.0,332732.0,3.0,44.0,427.0,428.0,425.0,39.0,319.0,0.1201201201201201,0.960960960960961,1.0,31
0,2,2,1,0.8904916402194913,1,3.0,1602428.0,27.0,16.0,0,16.0,1083266.0,8.0,1944.0,5327.0,5327.0,3990.0,1045.0,4185.0,0.1433465807866246,0.5736604083870084,0.0,13
181,7,5,1,0.4713532411051475,1,10.0,5525873.0,161.0,26.0,0,32.0,1144333.2857142857,2.0,10.0,135.0,141.0,135.0,7.0,122.0,0.0091848450057405,0.1412169919632606,0.0,496
